secs,km,power,hr,cad,alt
0,0,0,0,0,
1,0,67,0,0,
2,0.00440992,78,0,0,
3,0.00899797,86,113,67,
4,0.0136797,92,113,67,
5,0.0183613,93,112,70,
6,0.0230476,93,112,70,
7,0.0277091,93,111,69,
8,0.0323863,96,111,69,
9,0.0370634,96,111,70,
10,0.0417864,96,112,70,
11,0.0466135,98,113,73,
12,0.0515261,109,113,73,
13,0.0564843,109,114,74,
14,0.0614588,112,114,74,
15,0.0664333,112,115,74,
16,0.0713981,112,115,75,
17,0.0764508,115,115,76,
18,0.0815335,118,116,75,
19,0.0866143,116,116,76,
20,0.0917478,122,117,76,
21,0.0968812,122,117,76,
22,0.102021,118,117,77,
23,0.107196,127,118,77,
24,0.112371,117,118,77,
25,0.117566,117,118,77,
26,0.122752,123,119,77,
27,0.127937,123,119,77,
28,0.133158,129,119,78,
29,0.138367,122,120,78,
30,0.143573,124,120,77,
31,0.148763,124,121,77,
32,0.153918,120,121,77,
33,0.159073,120,121,77,
34,0.164228,117,121,77,
35,0.169418,128,122,77,
36,0.174634,122,122,78,
37,0.179904,129,122,78,
38,0.185215,137,122,79,
39,0.190526,137,123,79,
40,0.19576,125,123,78,
41,0.200997,127,123,78,
42,0.206257,124,124,78,
43,0.211556,134,124,79,
44,0.216882,132,125,79,
45,0.222209,132,125,79,
46,0.22752,132,125,79,
47,0.232816,133,125,79,
48,0.238163,133,125,79,
49,0.243506,134,125,80,
50,0.248811,125,125,79,
51,0.254117,125,125,79,
52,0.259449,134,126,79,
53,0.264745,126,126,79,
54,0.270061,136,126,79,
55,0.275419,137,125,80,
56,0.280766,131,124,80,
57,0.286114,131,124,80,
58,0.29143,133,124,79,
59,0.296752,129,124,79,
60,0.302073,133,124,79,
61,0.307394,133,125,79,
62,0.312706,126,125,79,
63,0.318017,126,126,79,
64,0.323354,134,126,79,
65,0.328685,129,126,79,
66,0.334059,137,127,80,
67,0.339381,135,127,80,
68,0.344713,130,127,79,
69,0.350044,130,127,80,
70,0.355387,133,127,80,
71,0.36078,136,127,80,
72,0.36616,134,127,80,
73,0.371486,134,128,79,
74,0.376792,127,128,79,
75,0.382134,127,128,79,
76,0.387477,127,128,79,
77,0.392782,135,129,79,
78,0.398092,136,129,80,
79,0.40345,134,129,80,
80,0.408808,134,129,79,
81,0.414155,128,129,79,
82,0.419482,134,129,79,
83,0.424798,127,129,79,
84,0.43013,133,130,79,
85,0.435445,133,129,79,
86,0.440767,128,129,80,
87,0.44614,139,129,80,
88,0.451514,139,129,80,
89,0.456899,130,129,80,
90,0.462267,137,129,80,
91,0.467646,136,130,80,
92,0.472998,133,129,80,
93,0.478377,136,130,80,
94,0.483756,136,129,80,
95,0.489104,128,129,80,
96,0.494478,130,129,80,
97,0.499862,139,129,80,
98,0.505236,134,128,80,
99,0.510615,137,128,80,
100,0.515994,137,129,80,
101,0.521352,136,129,80,
102,0.52671,129,129,80,
103,0.532068,137,129,79,
104,0.537395,137,129,79,
105,0.542721,128,129,80,
106,0.548048,128,128,79,
107,0.553395,136,128,79,
108,0.558717,129,128,79,
109,0.564043,135,128,79,
110,0.56937,133,128,80,
111,0.574728,137,129,80,
112,0.580086,137,129,80,
113,0.585444,137,129,80,
114,0.590791,127,130,79,
115,0.596082,133,129,79,
116,0.601403,133,130,80,
117,0.606725,131,130,80,
118,0.612046,131,129,80,
119,0.617409,137,128,80,
120,0.622808,135,128,80,
121,0.628204,136,128,80,
122,0.633583,138,128,80,
123,0.638971,140,128,80,
124,0.64436,140,129,80,
125,0.64975,136,129,80,
126,0.655102,130,129,80,
127,0.660471,134,129,80,
128,0.665819,137,129,79,
129,0.671203,133,130,80,
130,0.676587,133,130,80,
131,0.681971,139,131,80,
132,0.687313,129,131,80,
133,0.692682,136,132,80,
134,0.698034,137,132,80,
135,0.703403,135,132,79,
136,0.708771,135,132,80,
137,0.71415,137,132,80,
138,0.719454,129,132,79,
139,0.724796,131,132,79,
140,0.730154,138,131,80,
141,0.735502,129,131,80,
142,0.740849,129,131,80,
143,0.746228,138,130,80,
144,0.751576,129,130,80,
145,0.756955,138,130,80,
146,0.763304,279,131,92,
147,0.769414,187,131,104,
148,0.775524,187,131,94,
149,0.781202,151,131,86,
150,0.786649,134,131,82,
151,0.792033,132,132,80,
152,0.797391,139,132,80,
153,0.803159,219,132,80,
154,0.808928,219,132,83,
155,0.815425,225,132,96,
156,0.821373,164,133,91,
157,0.826916,138,133,84,
158,0.832348,140,133,81,
159,0.838094,158,133,83,
160,0.843841,158,133,87,
161,0.849677,187,133,86,
162,0.855361,143,133,86,
163,0.860802,133,132,81,
164,0.866192,137,132,80,
165,0.872278,215,132,81,
166,0.878364,215,132,89,
167,0.884456,195,133,92,
168,0.890281,173,133,88,
169,0.895883,141,133,84,
170,0.901366,140,133,82,
171,0.906719,134,133,81,
172,0.912072,134,133,80,
173,0.917446,133,134,80,
174,0.922814,136,134,80,
175,0.928324,172,134,81,
176,0.93434,210,134,89,
177,0.940335,187,134,91,
178,0.946329,187,135,90,
179,0.952008,144,135,86,
180,0.957448,134,135,81,
181,0.962849,134,135,81,
182,0.968237,137,135,80,
183,0.973638,133,135,80,
184,0.979038,133,134,80,
185,0.984453,141,133,81,
186,0.989848,134,132,80,
187,0.995252,136,132,80,
188,1.00067,141,131,80,
189,1.00714,258,130,84,
190,1.0136,258,128,94,
191,1.01992,258,127,95,
192,1.02569,149,127,87,
193,1.03117,143,125,83,
194,1.03658,136,125,81,
195,1.04199,138,124,80,
196,1.04741,138,124,80,
197,1.05283,141,125,81,
198,1.05825,135,127,81,
199,1.06366,137,128,81,
200,1.06924,182,130,81,
201,1.07481,146,131,89,
202,1.08038,146,132,82,
203,1.08583,133,133,81,
204,1.09123,140,134,80,
205,1.09658,136,134,80,
206,1.10196,133,134,80,
207,1.10742,148,135,81,
208,1.11288,148,135,86,
209,1.1189,236,136,95,
210,1.12529,213,136,90,
211,1.13111,163,136,83,
212,1.13663,139,137,81,
213,1.14212,140,137,82,
214,1.14761,140,138,82,
215,1.15323,194,138,92,
216,1.15956,230,138,91,
217,1.1654,150,138,82,
218,1.17086,144,138,81,
219,1.17621,133,138,80,
220,1.18156,133,138,80,
221,1.18694,139,139,80,
222,1.19229,132,139,81,
223,1.19788,179,139,81,
224,1.20409,189,139,85,
225,1.20974,189,138,82,
226,1.21539,143,138,81,
227,1.22104,143,138,80,
228,1.22644,134,137,80,
229,1.23182,139,137,80,
230,1.23721,139,137,80,
231,1.24268,157,137,80,
232,1.24871,222,137,86,
233,1.25474,222,137,94,
234,1.26092,180,137,88,
235,1.26661,180,137,96,
236,1.27229,150,137,119,
237,1.27891,150,137,103,
238,1.28685,367,137,89,
239,1.29347,367,137,83,
240,1.29904,138,137,82,
241,1.30453,145,138,81,
242,1.30994,139,137,80,
243,1.31534,134,138,80,
244,1.32074,139,137,80,
245,1.32614,139,137,80,
246,1.33151,138,137,80,
247,1.33688,131,138,80,
248,1.34228,139,136,80,
249,1.3476,130,136,79,
250,1.35291,132,136,79,
251,1.35822,132,136,79,
252,1.36354,135,136,80,
253,1.36889,131,136,80,
254,1.37428,139,136,80,
255,1.37964,130,136,80,
256,1.38502,137,137,80,
257,1.39039,137,137,80,
258,1.39575,135,137,80,
259,1.40112,131,137,80,
260,1.40651,135,137,80,
261,1.41187,130,137,80,
262,1.41729,136,137,80,
263,1.42271,136,137,81,
264,1.4281,137,137,79,
265,1.43341,124,137,79,
266,1.43873,135,137,79,
267,1.44404,126,137,79,
268,1.44914,94,137,77,
269,1.45423,94,137,66,
270,1.45845,65,135,57,
271,1.46224,56,135,57,
272,1.46617,69,134,62,
273,1.4705,77,133,64,
274,1.47493,81,132,65,
275,1.47936,81,132,67,
276,1.48391,92,132,68,
277,1.48853,94,132,69,
278,1.49314,89,131,69,
279,1.49776,94,132,69,
280,1.50238,87,131,69,
281,1.50699,87,131,68,
282,1.5115,82,131,67,
283,1.51597,83,130,66,
284,1.52045,87,130,67,
285,1.525,83,130,68,
286,1.52952,86,129,67,
287,1.53405,86,129,67,
288,1.53858,87,128,68,
289,1.54312,84,127,68,
290,1.5477,88,127,68,
291,1.55231,87,127,69,
292,1.55694,90,126,69,
293,1.56157,90,126,69,
294,1.56623,95,126,69,
295,1.57089,94,125,69,
296,1.57556,94,125,70,
297,1.58017,91,124,69,
298,1.58475,85,123,68,
299,1.58934,85,123,68,
300,1.59391,88,123,68,
301,1.5985,91,122,68,
302,1.6031,89,122,68,
303,1.6082,171,121,69,
304,1.61473,259,122,89,
305,1.62126,259,123,93,
306,1.62739,164,123,83,
307,1.63289,134,123,79,
308,1.63811,121,123,79,
309,1.64315,116,124,75,
310,1.64808,101,124,74,
311,1.65301,101,124,73,
312,1.65797,110,125,74,
313,1.6629,104,124,74,
314,1.66786,112,123,74,
315,1.67278,102,124,74,
316,1.67765,104,123,73,
317,1.68253,104,123,73,
318,1.68744,104,123,73,
319,1.69236,109,123,73,
320,1.69729,103,123,74,
321,1.70223,102,123,74,
322,1.70715,109,123,74,
323,1.71207,109,123,73,
324,1.71701,105,122,74,
325,1.72201,114,120,74,
326,1.72699,104,119,74,
327,1.7319,108,119,74,
328,1.73682,105,120,73,
329,1.74175,105,121,73,
330,1.74668,106,121,73,
331,1.7516,102,122,73,
332,1.75652,110,123,73,
333,1.76147,109,123,73,
334,1.76634,98,123,73,
335,1.77122,98,125,72,
336,1.7761,109,124,73,
337,1.78102,104,124,74,
338,1.78597,109,124,73,
339,1.79081,100,124,72,
340,1.79565,104,124,72,
341,1.8005,104,125,71,
342,1.8053,100,124,72,
343,1.81017,104,124,72,
344,1.81503,100,125,72,
345,1.81987,100,125,72,
346,1.82472,98,125,72,
347,1.82956,98,124,72,
348,1.83441,103,123,73,
349,1.8393,101,123,74,
350,1.84433,101,123,85,
351,1.85107,253,123,99,
352,1.85777,259,123,101,
353,1.86448,259,124,99,
354,1.87112,265,124,99,
355,1.87772,250,124,98,
356,1.88426,250,125,96,
357,1.89081,239,126,96,
358,1.89722,245,126,96,
359,1.90363,245,127,94,
360,1.90987,210,128,90,
361,1.91589,172,128,83,
362,1.92143,138,128,80,
363,1.92655,111,129,78,
364,1.93158,114,129,75,
365,1.93661,114,130,74,
366,1.94157,105,129,73,
367,1.94645,107,128,72,
368,1.95126,96,128,71,
369,1.95598,95,128,70,
370,1.96066,92,128,69,
371,1.96534,92,128,70,
372,1.97006,94,128,70,
373,1.97474,95,128,67,
374,1.97883,53,128,67,
375,1.98208,53,129,23,
376,1.98584,62,128,55,
377,1.98979,63,128,59,
378,1.99375,63,128,59,
379,1.99775,64,127,61,
380,2.0019,75,127,63,
381,2.00608,72,127,62,
382,2.01024,75,127,61,
383,2.01446,75,127,63,
384,2.01869,75,127,63,
385,2.02291,71,127,62,
386,2.02693,56,127,62,
387,2.02943,21,128,62,
388,2.03214,37,129,62,
389,2.03583,61,127,17,
390,2.03953,61,126,56,
391,2.04363,72,125,61,
392,2.04788,72,125,64,
393,2.05223,78,124,65,
394,2.05658,78,124,65,
395,2.06092,80,123,65,
396,2.06527,80,123,66,
397,2.06966,80,123,66,
398,2.07412,81,123,66,
399,2.07859,84,122,66,
400,2.08305,83,122,66,
401,2.0875,81,121,66,
402,2.09196,81,120,66,
403,2.0964,79,119,66,
404,2.10084,83,118,66,
405,2.10532,83,118,67,
406,2.10985,84,117,67,
407,2.11438,86,118,67,
408,2.11892,86,117,67,
409,2.12345,90,117,67,
410,2.128,85,117,68,
411,2.13254,87,116,67,
412,2.13708,88,116,67,
413,2.14165,87,115,68,
414,2.14622,87,115,69,
415,2.15087,95,114,69,
416,2.15557,97,114,69,
417,2.16019,93,114,69,
418,2.16486,96,114,69,
419,2.16953,91,114,70,
420,2.1742,91,114,69,
421,2.17884,94,114,69,
422,2.18347,94,113,69,
423,2.1881,88,114,69,
424,2.19275,94,113,69,
425,2.19742,92,113,69,
426,2.20209,92,114,70,
427,2.20678,93,114,70,
428,2.21149,100,114,70,
429,2.21622,96,114,70,
430,2.22093,96,114,70,
431,2.22579,122,115,70,
432,2.23065,122,115,86,
433,2.23665,224,115,99,
434,2.24331,275,116,101,
435,2.24998,252,117,100,
436,2.25649,235,118,98,
437,2.26268,203,119,94,
438,2.26888,203,120,91,
439,2.27496,201,121,91,
440,2.28097,195,122,89,
441,2.28642,129,123,83,
442,2.29164,119,123,78,
443,2.29666,108,124,76,
444,2.30168,108,124,74,
445,2.30657,107,124,72,
446,2.31139,97,124,71,
447,2.31624,100,124,72,
448,2.32113,105,124,72,
449,2.32599,105,123,73,
450,2.33086,105,123,72,
451,2.3357,98,123,69,
452,2.3404,79,123,69,
453,2.34327,27,123,69,
454,2.34546,18,121,69,
455,2.34798,33,121,69,
456,2.3505,33,119,13,
457,2.35391,50,118,52,
458,2.35766,61,118,57,
459,2.36163,65,117,58,
460,2.36564,67,117,59,
461,2.36972,70,117,60,
462,2.3738,70,118,61,
463,2.37795,71,118,62,
464,2.38208,71,119,61,
465,2.3862,66,120,61,
466,2.38915,28,121,61,
467,2.39287,61,122,20,
468,2.39659,61,122,56,
469,2.40068,69,122,61,
470,2.40428,40,122,61,
471,2.40798,59,121,29,
472,2.41198,65,121,56,
473,2.41604,66,120,60,
474,2.42009,66,119,60,
475,2.42411,65,119,60,
476,2.42815,65,117,60,
477,2.43218,64,116,59,
478,2.43616,63,115,59,
479,2.44013,64,115,59,
480,2.4441,64,115,59,
481,2.4481,65,115,60,
482,2.45213,65,115,60,
483,2.45616,65,115,60,
484,2.46023,66,115,60,
485,2.46429,66,115,60,
486,2.46836,66,115,60,
487,2.47241,66,116,60,
488,2.47648,64,116,60,
489,2.48059,66,116,61,
490,2.48472,66,116,61,
491,2.4889,67,116,61,
492,2.49307,67,117,62,
493,2.49724,67,116,62,
494,2.50142,69,116,62,
495,2.50557,69,116,62,
496,2.50971,67,116,62,
497,2.51386,67,116,63,
498,2.518,67,116,63,
499,2.52219,75,115,63,
500,2.52646,78,115,63,
501,2.53066,70,115,62,
502,2.5349,73,115,63,
503,2.53916,72,115,63,
504,2.54342,72,114,63,
505,2.54761,71,114,62,
506,2.5518,71,114,62,
507,2.55595,70,114,61,
508,2.56003,67,114,61,
509,2.56415,67,114,61,
510,2.56826,67,114,61,
511,2.57241,71,113,62,
512,2.57655,69,113,61,
513,2.5807,69,113,61,
514,2.5849,69,112,62,
515,2.58906,67,110,62,
516,2.59323,67,109,62,
517,2.5974,69,110,62,
518,2.6016,72,109,63,
519,2.60583,74,110,63,
520,2.61005,77,110,63,
521,2.61433,78,111,63,
522,2.61862,78,112,64,
523,2.62291,77,110,63,
524,2.62714,72,110,63,
525,2.63138,72,110,63,
526,2.63562,73,110,63,
527,2.6399,77,110,63,
528,2.64419,78,111,64,
529,2.64849,78,111,64,
530,2.65278,77,111,64,
531,2.65709,74,111,64,
532,2.66137,72,112,64,
533,2.66569,78,111,64,
534,2.67003,80,111,64,
535,2.67437,80,111,64,
536,2.67869,79,111,63,
537,2.68298,75,111,64,
538,2.68724,73,111,63,
539,2.69153,74,111,64,
540,2.69578,73,111,63,
541,2.70003,73,111,63,
542,2.7043,78,111,64,
543,2.70859,77,111,64,
544,2.71286,74,112,64,
545,2.71709,69,112,63,
546,2.72128,67,112,63,
547,2.72547,67,112,62,
548,2.72969,70,113,63,
549,2.73394,72,113,63,
550,2.73819,78,113,63,
551,2.74245,77,113,63,
552,2.74667,75,112,63,
553,2.7509,75,112,63,
554,2.75513,75,112,63,
555,2.75932,69,111,62,
556,2.76346,67,111,62,
557,2.76759,67,111,61,
558,2.77177,71,110,62,
559,2.77594,71,110,62,
560,2.7801,70,110,61,
561,2.78424,69,110,61,
562,2.78836,69,109,61,
563,2.79245,69,108,61,
564,2.79656,70,108,61,
565,2.80067,70,108,61,
566,2.80478,70,107,61,
567,2.80889,67,107,61,
568,2.81302,67,106,61,
569,2.81716,70,106,61,
570,2.82133,67,106,62,
571,2.8255,67,106,62,
572,2.82968,67,106,62,
573,2.83389,69,106,62,
574,2.83811,71,106,63,
575,2.84231,73,106,62,
576,2.84649,73,105,62,
577,2.85068,73,105,62,
578,2.85483,73,105,62,
579,2.85898,72,105,61,
580,2.86313,71,106,62,
581,2.86726,70,106,61,
582,2.8714,71,106,61,
583,2.87554,71,104,61,
584,2.87966,67,103,61,
585,2.88382,67,103,62,
586,2.88796,67,103,61,
587,2.89209,67,103,62,
588,2.89624,70,104,61,
589,2.90038,70,104,62,
590,2.90452,69,105,61,
591,2.90869,73,105,61,
592,2.91288,71,105,62,
593,2.917,69,105,62,
594,2.92109,69,105,61,
595,2.92519,69,104,61,
596,2.92924,69,104,60,
597,2.93329,66,104,60,
598,2.93738,67,103,61,
599,2.9415,69,101,61,
600,2.94563,65,100,61,
601,2.94976,65,100,61,
602,2.95394,66,101,62,
603,2.95813,67,102,62,
604,2.96232,70,102,62,
605,2.96647,71,102,62,
606,2.97064,72,102,62,
607,2.97481,72,102,62,
608,2.97896,71,102,61,
609,2.98311,72,102,62,
610,2.98724,71,103,61,
611,2.99133,69,103,61,
612,2.99542,67,103,61,
613,2.9995,67,103,61,
614,3.00362,69,103,61,
615,3.0077,69,103,61,
616,3.01179,67,103,59,
617,3.01567,50,104,59,
618,3.01844,45,104,59,
619,3.02122,45,104,59,
620,3.02425,28,104,59,
621,3.02646,32,104,11,
622,3.02954,39,103,11,
623,3.03305,39,103,45,
624,3.03656,53,103,53,
625,3.04007,53,103,56,
626,3.04392,63,104,58,
627,3.04793,67,104,59,
628,3.05199,69,104,60,
629,3.05608,70,104,60,
630,3.06019,70,105,61,
631,3.0643,70,105,61,
632,3.06842,71,105,61,
633,3.07258,70,105,61,
634,3.07676,70,105,62,
635,3.08097,71,105,62,
636,3.0852,70,105,63,
637,3.08942,70,106,63,
638,3.09367,73,106,63,
639,3.09799,80,106,64,
640,3.10238,83,106,65,
641,3.10677,78,106,65,
642,3.11114,76,105,65,
643,3.1155,76,105,65,
644,3.11984,77,105,64,
645,3.12424,84,105,65,
646,3.12865,81,105,65,
647,3.13306,78,105,66,
648,3.13744,78,105,65,
649,3.14183,78,104,66,
650,3.14625,79,104,66,
651,3.1507,84,103,66,
652,3.15516,81,103,66,
653,3.15963,82,104,66,
654,3.16419,92,104,67,
655,3.16874,92,105,68,
656,3.1733,88,105,68,
657,3.17792,90,105,69,
658,3.18248,89,106,68,
659,3.18709,90,106,68,
660,3.19175,92,106,69,
661,3.19641,92,106,69,
662,3.20105,95,106,69,
663,3.20572,92,106,69,
664,3.21039,95,107,69,
665,3.21505,92,106,69,
666,3.21968,93,105,69,
