secs,km,power,hr,cad,alt
0,0,92,84,66,
1,0.00465556,95,84,68,
2,0.00945,103,85,68,
3,0.0142917,104,85,68,
4,0.0191194,104,87,68,
5,0.0240139,107,88,68,
6,0.0289083,107,87,71,
7,0.03395,116,87,74,
8,0.0390806,121,87,75,
9,0.0441778,119,88,74,
10,0.0491806,113,88,74,
11,0.0541222,110,90,73,
12,0.0590639,110,91,72,
13,0.0639667,108,91,72,
14,0.0688556,107,92,72,
15,0.0737639,108,92,73,
16,0.0786917,108,92,73,
17,0.083675,111,91,73,
18,0.0886583,111,90,73,
19,0.0936222,111,91,73,
20,0.0985806,111,93,73,
21,0.103531,110,95,73,
22,0.108489,111,95,72,
23,0.113444,110,97,72,
24,0.1184,110,99,73,
25,0.123308,108,99,72,
26,0.128183,107,100,73,
27,0.1331,108,100,73,
28,0.138008,108,101,73,
29,0.142936,108,102,73,
30,0.147864,108,101,72,
31,0.152781,108,100,72,
32,0.157733,110,100,72,
33,0.162669,110,100,72,
34,0.167553,107,101,72,
35,0.172453,107,100,72,
36,0.177353,107,100,72,
37,0.182275,108,101,72,
38,0.187144,105,102,72,
39,0.192014,105,102,72,
40,0.19685,104,102,72,
41,0.201692,104,103,73,
42,0.206533,104,104,72,
43,0.2114,105,104,72,
44,0.216303,108,103,72,
45,0.221214,108,104,72,
46,0.226122,108,105,72,
47,0.231044,108,104,72,
48,0.235967,108,103,72,
49,0.240861,107,103,72,
50,0.245708,105,104,72,
51,0.250589,107,104,72,
52,0.255458,105,103,72,
53,0.260314,105,103,72,
54,0.265169,105,104,72,
55,0.270039,105,105,72,
56,0.274889,105,105,72,
57,0.279772,107,105,72,
58,0.284628,105,104,72,
59,0.289489,105,105,72,
60,0.29435,105,105,72,
61,0.299197,105,104,73,
62,0.304058,105,103,73,
63,0.308919,105,103,73,
64,0.313789,105,103,73,
65,0.318697,108,104,72,
66,0.323606,108,103,71,
67,0.328533,108,102,71,
68,0.333431,107,102,72,
69,0.338328,107,103,72,
70,0.343256,108,103,72,
71,0.348144,107,103,72,
72,0.353033,107,103,72,
73,0.357889,105,100,72,
74,0.362664,101,99,72,
75,0.367492,104,100,72,
76,0.372383,107,101,72,
77,0.377281,107,102,72,
78,0.382178,107,102,72,
79,0.387053,107,104,72,
80,0.391919,105,105,72,
81,0.396819,107,105,72,
82,0.401675,105,106,73,
83,0.406544,105,106,73,
84,0.411414,105,106,72,
85,0.416297,107,107,72,
86,0.4212,108,108,71,
87,0.426136,110,107,71,
88,0.431083,110,107,71,
89,0.435978,107,107,71,
90,0.440872,107,108,71,
91,0.445719,105,108,71,
92,0.450553,104,108,72,
93,0.455375,104,108,72,
94,0.46015,101,108,72,
