secs,km,power,hr,cad,alt
0,0,0,0,0,
1,0,0,0,0,
2,0.00501329,114,105,0,
3,0.00999132,112,106,0,
4,0.0149706,112,106,0,
5,0.0199499,112,107,73,
6,0.0248495,107,107,71,
7,0.0296361,101,107,70,
8,0.0344691,104,107,71,
9,0.0393022,104,107,71,
10,0.0441826,106,107,72,
11,0.0490919,108,107,72,
12,0.0539485,105,107,71,
13,0.0587769,104,107,71,
14,0.0635419,100,107,70,
15,0.068307,100,107,68,
16,0.0729546,94,107,68,
17,0.0776046,94,106,68,
18,0.0823649,100,106,70,
19,0.0871839,103,106,70,
20,0.0919751,102,103,70,
21,0.0967663,102,103,69,
22,0.101508,99,103,69,
23,0.106281,101,103,70,
24,0.11105,101,104,70,
25,0.115898,105,105,71,
26,0.120754,105,105,71,
27,0.125583,104,105,71,
28,0.130411,104,105,71,
29,0.135209,102,105,70,
30,0.14,102,105,70,
31,0.144799,102,104,70,
32,0.149594,102,105,70,
33,0.154395,102,105,70,
34,0.159195,102,105,70,
35,0.163951,100,106,70,
36,0.168738,101,106,70,
37,0.173503,100,107,70,
38,0.178266,100,107,70,
39,0.18306,102,107,70,
40,0.187806,99,108,70,
41,0.192552,99,107,69,
42,0.197284,99,107,69,
43,0.20204,100,107,70,
44,0.206781,99,107,70,
45,0.211518,99,106,69,
46,0.216291,101,107,70,
47,0.221064,101,107,70,
48,0.225787,98,106,69,
49,0.230491,97,106,69,
50,0.235205,98,106,69,
51,0.239887,96,106,68,
52,0.244591,97,106,69,
53,0.249296,97,105,69,
54,0.254028,99,104,69,
55,0.25877,99,104,70,
56,0.263535,100,104,70,
57,0.268276,99,104,69,
58,0.272971,97,103,69,
59,0.277644,96,104,69,
60,0.282316,96,104,68,
61,0.286984,95,104,68,
62,0.291671,96,104,69,
63,0.296394,98,103,69,
64,0.301117,98,103,69,
65,0.305839,98,103,69,
66,0.310562,98,103,69,
67,0.315299,99,102,69,
68,0.320004,97,103,69,
69,0.324684,96,103,69,
70,0.329447,100,103,70,
71,0.33418,99,102,69,
72,0.338903,98,101,69,
73,0.343626,98,101,69,
74,0.34833,97,101,69,
75,0.353039,97,102,69,
76,0.357786,99,102,69,
77,0.3625,98,103,69,
78,0.367172,96,103,69,
79,0.371845,96,104,68,
80,0.376508,95,104,68,
81,0.381172,95,103,68,
82,0.38584,95,103,68,
83,0.390506,95,104,68,
84,0.395165,95,104,68,
85,0.399824,95,102,68,
86,0.40452,97,102,69,
87,0.409201,96,102,68,
88,0.413882,96,103,69,
89,0.418568,96,102,69,
90,0.423282,98,102,69,
91,0.428042,100,102,70,
92,0.432802,100,103,70,
93,0.437563,100,103,70,
94,0.442295,99,103,69,
95,0.447014,98,103,69,
96,0.451779,100,103,70,
97,0.456547,100,103,70,
98,0.461315,100,103,70,
99,0.466052,99,103,69,
100,0.470775,98,103,69,
101,0.475475,97,102,69,
102,0.480189,98,100,69,
103,0.484884,97,99,69,
104,0.489593,97,99,69,
105,0.494302,97,99,69,
106,0.499025,98,100,69,
107,0.503739,98,102,69,
108,0.508476,99,102,69,
109,0.513212,99,102,69,
110,0.517978,100,103,69,
111,0.522743,100,103,70,
112,0.527489,99,102,69,
113,0.532225,99,102,69,
114,0.53693,97,102,69,
115,0.541621,97,102,69,
116,0.546311,97,102,68,
117,0.551002,97,102,69,
118,0.555716,98,102,69,
119,0.560416,97,103,69,
120,0.565139,98,104,69,
121,0.569894,100,104,69,
122,0.57463,99,104,69,
123,0.579353,98,105,69,
124,0.584076,98,105,69,
125,0.588772,97,105,69,
126,0.593527,100,105,70,
127,0.598291,100,106,69,
128,0.603033,99,106,70,
129,0.607733,97,106,69,
130,0.612433,97,104,69,
131,0.617096,95,102,68,
132,0.621742,94,102,69,
133,0.626446,97,102,69,
134,0.631103,95,103,68,
135,0.635771,95,103,69,
136,0.640457,96,103,69,
137,0.645144,96,103,69,
138,0.649803,95,103,68,
139,0.654492,96,103,69,
140,0.659183,97,103,68,
141,0.663829,94,103,68,
142,0.66852,97,103,68,
143,0.67321,97,103,69,
144,0.677867,95,103,68,
145,0.682517,94,103,68,
146,0.687114,92,104,67,
147,0.691724,92,103,67,
148,0.696375,94,103,68,
149,0.701061,96,103,68,
150,0.705747,96,103,69,
151,0.710465,98,103,69,
152,0.715147,96,102,69,
153,0.719852,97,102,69,
154,0.724542,97,102,68,
155,0.729233,97,102,69,
156,0.733924,97,102,69,
157,0.738656,99,101,69,
158,0.743346,96,101,69,
159,0.748078,99,101,70,
160,0.752838,100,102,69,
161,0.757547,97,103,69,
162,0.762256,97,103,69,
163,0.76697,98,103,69,
164,0.771688,98,104,69,
165,0.776402,98,104,69,
166,0.781152,100,103,70,
167,0.785838,96,101,69,
168,0.790557,98,101,69,
169,0.795275,98,100,69,
170,0.799998,98,101,69,
171,0.804707,97,101,69,
172,0.809435,98,101,69,
173,0.814181,99,102,69,
174,0.818904,98,103,69,
175,0.823627,98,103,69,
176,0.828383,100,103,69,
177,0.833097,98,103,69,
178,0.837797,97,103,69,
179,0.842487,97,103,69,
180,0.847192,97,104,69,
181,0.85192,98,103,69,
182,0.856647,98,103,69,
183,0.861379,99,103,69,
184,0.866107,98,104,69,
185,0.870848,99,104,69,
186,0.87559,99,104,70,
187,0.880372,101,104,70,
188,0.885154,101,104,70,
189,0.8899,99,105,69,
190,0.894637,99,105,70,
191,0.8994,100,105,70,
192,0.904147,99,104,69,
193,0.908874,98,104,69,
194,0.913602,98,104,69,
195,0.918316,98,103,69,
196,0.923029,98,103,69,
197,0.927779,100,103,69,
198,0.932512,99,104,69,
199,0.937239,98,104,69,
200,0.941981,99,104,69,
201,0.946723,99,105,69,
202,0.95145,98,105,69,
203,0.956192,99,105,69,
204,0.960924,99,106,69,
205,0.965619,97,106,69,
206,0.970333,98,106,69,
207,0.975047,98,106,69,
208,0.97977,98,106,69,
209,0.98453,100,107,70,
210,0.989298,100,107,70,
211,0.994059,100,107,70,
212,0.998813,100,107,69,
213,1.00358,101,106,70,
214,1.00835,101,105,70,
215,1.0131,100,105,70,
216,1.01787,100,106,70,
217,1.02262,100,105,70,
218,1.02737,99,104,70,
219,1.0321,99,104,69,
220,1.03683,99,104,69,
221,1.04157,99,104,69,
222,1.04627,97,104,69,
223,1.05094,95,105,68,
224,1.05564,97,105,69,
225,1.06038,99,105,70,
226,1.06509,97,105,69,
227,1.0698,97,106,69,
228,1.07452,98,106,69,
229,1.0792,96,106,68,
230,1.08386,95,104,68,
231,1.08853,95,101,68,
232,1.0932,96,101,68,
233,1.09787,96,102,68,
234,1.10256,97,103,69,
235,1.10721,95,103,68,
236,1.11186,94,103,68,
237,1.11655,97,104,68,
238,1.12122,96,104,69,
239,1.1259,96,104,68,
240,1.13057,95,105,68,
241,1.13525,96,105,68,
242,1.13992,96,105,69,
243,1.14461,96,105,69,
244,1.14934,99,106,69,
245,1.15406,98,106,69,
246,1.15878,98,106,69,
247,1.16352,99,107,70,
248,1.16828,100,107,70,
249,1.17304,100,107,70,
250,1.17785,103,108,70,
251,1.18263,101,108,70,
252,1.18741,101,108,70,
253,1.19219,101,108,70,
254,1.19699,102,108,70,
255,1.20175,100,108,70,
256,1.20653,101,108,70,
257,1.21131,101,108,70,
258,1.21609,101,107,70,
259,1.22087,101,107,70,
260,1.22564,101,107,70,
261,1.23042,101,107,70,
262,1.2352,101,106,70,
263,1.23998,101,107,70,
264,1.24476,101,107,70,
265,1.24954,101,107,70,
266,1.2543,100,107,70,
267,1.25908,101,107,70,
268,1.26385,101,107,70,
269,1.26863,101,107,70,
270,1.27341,102,107,70,
271,1.2782,102,107,70,
272,1.28296,100,107,70,
273,1.28774,101,108,70,
274,1.2925,100,108,70,
275,1.29727,101,108,70,
276,1.30187,92,107,69,
277,1.30662,99,106,70,
278,1.31136,99,106,70,
279,1.31612,100,106,70,
280,1.32088,100,106,70,
281,1.32562,99,106,70,
282,1.3304,101,106,70,
283,1.33515,100,106,70,
284,1.3399,100,106,70,
285,1.34466,100,106,70,
286,1.34945,101,106,70,
287,1.35424,102,107,70,
288,1.35901,100,107,70,
289,1.36374,99,107,70,
290,1.36851,101,108,69,
291,1.37328,101,107,70,
292,1.37804,100,106,70,
293,1.38277,99,106,69,
294,1.3875,98,105,69,
295,1.3922,97,105,69,
296,1.39691,97,106,69,
297,1.40161,97,106,69,
298,1.40634,98,105,69,
299,1.41105,97,105,69,
300,1.41577,98,103,69,
301,1.42046,97,103,69,
302,1.42516,97,103,69,
