secs,km,power,hr,cad,alt
0,0,50,,1,9
1,0.002,18,,1,9
2,0.0039,0,,0,9
3,0.0055,0,,0,8.8
4,0.0067,0,,0,8.8
5,0.0076,0,,0,8.8
6,0.008,0,,0,8.8
7,0.008,0,,0,8.8
8,0.008,0,,0,8.8
11,0.008,38,,0,8.8
12,0.0083,124,,25,8.8
13,0.0098,180,,25,8.8
14,0.0123,180,,47,8.6
15,0.0158,116,,50,8.6
16,0.0197,131,,53,8.4
17,0.0244,154,,59,8.4
18,0.0296,151,,66,8.2
19,0.0353,151,,67,8
20,0.0413,132,,68,7.8
21,0.048,94,,67,7.6
22,0.0551,65,,65,7.4
23,0.0627,61,,64,7
24,0.0703,61,,63,6.8
25,0.0781,64,,63,6.4
26,0.0867,69,,63,6.2
27,0.0951,77,,63,6
28,0.1041,80,,63,5.8
29,0.113,85,,64,5.6
30,0.1218,95,,65,5.4
31,0.1311,105,,65,5
32,0.1403,102,,65,4.8
33,0.15,98,,64,4.6
34,0.1599,94,,65,4.4
35,0.1698,87,,66,4.2
36,0.1797,99,,67,4
37,0.1897,117,,65,3.8
38,0.1999,113,,64,3.6
39,0.2104,83,,65,3.4
40,0.221,65,,65,3.2
41,0.2314,69,,65,3
42,0.2417,81,,64,2.8
43,0.2524,89,,64,2.6
44,0.2627,92,,64,2.4
45,0.2731,96,,64,2.2
46,0.2836,100,,65,2.2
47,0.294,102,,65,2
48,0.3044,100,,65,1.8
49,0.3148,87,,63,1.8
50,0.3251,87,,63,1.6
51,0.3353,112,,64,1.6
52,0.3455,135,,67,1.4
53,0.3555,189,,71,1.4
54,0.3657,189,,71,1.4
55,0.3757,140,,71,1.4
56,0.3857,113,,72,1.4
57,0.3958,107,,72,1.4
58,0.4056,94,,72,1.4
59,0.4152,94,,73,1.4
60,0.4249,90,,73,1.4
61,0.434,86,,71,1.4
62,0.4432,87,,70,1.4
63,0.4526,100,,69,1.4
64,0.4618,114,,70,1.6
65,0.4709,127,,71,1.6
66,0.48,124,,70,1.6
67,0.489,113,,70,1.6
68,0.4982,113,,71,1.6
69,0.507,117,,71,1.6
70,0.5159,98,,70,1.6
71,0.5246,98,,70,1.6
72,0.5334,89,,71,1.6
73,0.5419,123,,72,1.6
74,0.5505,146,,72,1.6
75,0.559,146,,72,1.6
76,0.5678,124,,72,1.6
77,0.5761,124,,71,1.6
78,0.5846,94,,70,1.6
79,0.5929,69,,69,1.6
80,0.6013,70,,69,1.6
81,0.6099,82,,71,1.6
82,0.618,97,,69,1.6
83,0.6265,106,,69,1.6
84,0.6349,106,,69,1.6
85,0.643,105,,69,1.6
86,0.6513,104,,69,1.6
87,0.6595,103,,69,1.6
88,0.6681,106,,69,1.6
89,0.6769,110,,70,1.6
90,0.6856,120,,70,1.6
91,0.6938,118,,70,1.6
92,0.7018,119,,70,1.6
93,0.7096,119,,71,1.6
94,0.7177,110,,70,1.6
95,0.726,110,,70,1.6
96,0.734,109,,70,1.6
97,0.7424,113,,72,1.6
98,0.7503,120,,71,1.6
99,0.7584,122,,72,1.6
100,0.7666,117,,71,1.6
101,0.7749,110,,72,1.6
102,0.7834,109,,71,1.6
103,0.7914,98,,69,1.6
104,0.7999,90,,70,1.6
