secs,km,power,hr,cad,alt
0,0,0,0,0,
1,0.00469537,93,0,81,
2,0.00954726,97,83,80,
3,0.0144614,103,84,89,
4,0.0193756,109,85,89,
5,0.0242897,109,86,89,
6,0.0292039,109,87,89,
7,0.034118,109,87,89,
8,0.0390322,109,88,89,
9,0.0439463,109,88,89,
10,0.0488605,109,88,89,
11,0.0537746,109,88,89,
12,0.0586888,109,88,89,
13,0.0636029,109,88,89,
14,0.0685171,109,88,89,
15,0.0734312,109,89,89,
16,0.0783454,109,90,89,
17,0.0832595,109,91,89,
18,0.0881737,109,92,89,
19,0.0930879,109,92,89,
20,0.098002,109,92,89,
21,0.102916,109,92,89,
22,0.10783,0,91,0,
23,0.112744,0,91,0,
24,0.117659,0,91,0,
25,0.122573,0,91,0,
26,0.122573,0,91,0,
27,0.122573,0,91,0,
28,0.122663,0,87,0,
29,0.124904,0,87,0,
30,0.128938,0,88,0,
31,0.132972,0,89,0,
32,0.137658,77,90,4,
33,0.142534,109,91,83,
34,0.147456,109,92,85,
35,0.152429,106,93,86,
36,0.157286,85,93,82,
37,0.162142,85,94,82,
38,0.166048,46,95,82,
39,0.16919,42,96,82,
40,0.17334,94,96,82,
41,0.178202,111,97,26,
42,0.18321,114,97,82,
43,0.188219,114,97,82,
44,0.193291,115,97,84,
45,0.198456,126,98,89,
46,0.203667,121,97,86,
47,0.208877,122,97,90,
48,0.214137,128,97,87,
49,0.219431,127,96,92,
50,0.224725,127,96,92,
51,0.230021,126,95,90,
52,0.235281,124,95,91,
53,0.240491,122,95,88,
54,0.245754,125,95,91,
55,0.251065,127,95,92,
56,0.256376,127,95,92,
57,0.261591,121,95,89,
58,0.266772,120,95,90,
59,0.271941,119,95,87,
60,0.277096,119,95,89,
61,0.282251,121,96,89,
62,0.287457,124,97,90,
63,0.292662,124,97,90,
64,0.297909,128,97,87,
65,0.303104,124,97,90,
66,0.30834,126,98,86,
67,0.313556,123,99,90,
68,0.318721,122,100,87,
69,0.323886,122,101,87,
70,0.329056,126,100,89,
71,0.334176,122,99,89,
72,0.339346,124,99,87,
73,0.34449,122,99,89,
74,0.349676,125,99,90,
75,0.354876,125,99,88,
76,0.360076,125,99,88,
77,0.365256,121,100,90,
78,0.370421,121,100,87,
79,0.375606,124,101,89,
80,0.380797,123,101,90,
81,0.385977,119,101,90,
82,0.391157,119,101,90,
83,0.396352,122,102,90,
84,0.401532,120,101,88,
85,0.406738,121,102,82,
86,0.411918,119,102,92,
87,0.417137,123,103,88,
88,0.422357,123,103,88,
89,0.427568,122,104,90,
90,0.432768,122,105,90,
91,0.437958,120,105,86,
92,0.443154,123,105,90,
93,0.448374,123,105,86,
94,0.453534,125,106,89,
95,0.458694,125,106,89,
96,0.463834,120,106,87,
97,0.469014,125,107,89,
98,0.474139,121,107,87,
99,0.479284,123,107,89,
100,0.484409,124,107,87,
101,0.489534,124,107,87,
102,0.494654,117,107,89,
103,0.499697,110,108,88,
104,0.504516,96,107,54,
105,0.509295,98,106,79,
106,0.514065,96,105,81,
107,0.51887,98,105,83,
108,0.523675,98,106,83,
109,0.528517,101,106,84,
110,0.533344,101,106,80,
111,0.538173,102,106,83,
112,0.542996,96,106,84,
113,0.547823,104,106,83,
114,0.552651,104,106,83,
115,0.557423,96,107,81,
116,0.562146,94,106,82,
117,0.566883,97,106,82,
118,0.57163,97,107,78,
119,0.576452,100,107,81,
120,0.581274,100,106,81,
121,0.586047,98,106,83,
122,0.590831,100,106,83,
123,0.595608,96,106,81,
124,0.600413,100,102,83,
125,0.6052,98,100,79,
126,0.60996,95,101,83,
127,0.614721,95,101,83,
128,0.619457,97,101,80,
129,0.624176,97,102,81,
130,0.628921,97,102,82,
131,0.633672,96,102,80,
132,0.638441,100,103,83,
133,0.643209,100,103,83,
134,0.647955,94,103,80,
135,0.652687,94,103,82,
136,0.657415,97,103,78,
137,0.662156,98,103,82,
138,0.667008,103,104,82,
139,0.67185,102,104,84,
140,0.676693,102,104,84,
141,0.681484,100,104,83,
142,0.686263,96,105,81,
143,0.691014,96,105,79,
144,0.695789,96,105,82,
145,0.700571,96,105,79,
146,0.705352,96,106,79,
147,0.710118,97,106,82,
148,0.714763,92,106,77,
149,0.719397,91,106,80,
150,0.724263,101,106,83,
151,0.729148,108,106,84,
152,0.734033,108,106,84,
153,0.739071,112,106,86,
154,0.744036,105,106,83,
155,0.748916,102,106,85,
156,0.753603,91,105,85,
157,0.75815,90,105,54,
158,0.762873,96,105,70,
159,0.767596,96,105,70,
160,0.772265,91,104,83,
161,0.776951,97,104,77,
162,0.781697,98,104,82,
163,0.786465,98,104,82,
164,0.791202,98,103,80,
165,0.795939,98,103,80,
166,0.800723,102,102,79,
167,0.805551,98,102,83,
168,0.810408,101,101,84,
169,0.815208,100,101,80,
170,0.81999,96,101,81,
171,0.824779,98,101,83,
172,0.829568,98,101,83,
173,0.834392,100,101,83,
174,0.839024,97,101,81,
175,0.843639,95,101,83,
176,0.848444,102,101,83,
177,0.853258,100,101,83,
178,0.858073,100,101,83,
179,0.862919,101,101,84,
180,0.867785,104,101,80,
181,0.872726,114,101,83,
182,0.877856,124,101,89,
183,0.883072,127,101,90,
184,0.888288,127,101,90,
185,0.893453,123,102,86,
186,0.898546,116,102,89,
187,0.903656,123,103,84,
188,0.908806,123,103,89,
189,0.91397,119,103,87,
190,0.919151,124,103,89,
191,0.924331,124,103,89,
192,0.929485,119,103,87,
193,0.934614,116,104,89,
194,0.939714,117,104,86,
195,0.944894,119,104,90,
196,0.950095,125,104,86,
197,0.955295,125,104,86,
198,0.960521,124,104,88,
199,0.965681,123,104,89,
200,0.970831,119,104,89,
201,0.976006,124,104,89,
202,0.981146,124,105,89,
203,0.986274,121,105,85,
204,0.991402,121,105,85,
205,0.996572,126,105,89,
206,1.00174,124,105,86,
207,1.00695,126,105,90,
208,1.01211,122,105,87,
209,1.01728,124,104,89,
210,1.02245,124,103,89,
211,1.02763,123,102,88,
212,1.03281,123,102,90,
213,1.03797,121,102,87,
214,1.04314,122,102,89,
215,1.04829,120,102,85,
216,1.05343,120,102,85,
217,1.05857,115,102,89,
218,1.06371,118,103,89,
219,1.06882,116,103,87,
220,1.07394,122,103,88,
221,1.0791,126,103,89,
222,1.0843,127,104,88,
223,1.08951,127,104,88,
224,1.09471,129,105,90,
225,1.09991,125,105,88,
226,1.10511,127,105,94,
227,1.1103,125,105,90,
228,1.11547,123,105,86,
229,1.12065,123,106,86,
230,1.12581,125,106,89,
231,1.13095,122,106,89,
232,1.1361,120,106,87,
233,1.14123,123,106,85,
234,1.14644,123,106,89,
235,1.1516,123,106,88,
236,1.15676,123,104,88,
237,1.16194,123,104,85,
238,1.16711,119,103,92,
239,1.17228,121,104,85,
240,1.17751,128,104,90,
241,1.18276,122,105,91,
242,1.188,122,105,91,
243,1.1932,122,106,86,
244,1.1984,120,106,90,
245,1.20358,122,107,86,
246,1.20874,120,107,89,
247,1.21394,123,107,88,
248,1.21915,123,108,86,
249,1.22436,127,109,86,
250,1.2296,122,109,91,
251,1.23483,125,110,90,
252,1.24009,128,110,89,
253,1.24536,128,111,89,
254,1.25056,120,112,90,
255,1.25577,120,112,90,
256,1.26095,123,112,90,
257,1.26616,128,112,86,
258,1.27138,126,112,90,
259,1.27661,126,111,88,
260,1.28182,127,111,90,
261,1.28704,127,111,90,
262,1.29224,122,111,88,
263,1.29748,128,111,91,
264,1.30268,122,111,90,
265,1.30784,123,111,89,
266,1.31301,124,111,89,
267,1.31817,124,111,86,
268,1.32334,124,111,86,
269,1.32851,125,110,87,
270,1.33373,124,111,90,
271,1.33893,124,109,90,
272,1.34412,123,108,89,
273,1.34932,125,106,86,
274,1.35452,125,106,86,
275,1.35973,124,107,90,
276,1.36494,127,107,86,
277,1.37015,121,108,90,
278,1.37532,123,108,89,
279,1.38052,124,109,90,
280,1.38571,118,109,90,
281,1.3909,118,110,90,
282,1.39605,119,110,85,
283,1.40123,119,110,89,
284,1.40643,121,110,86,
285,1.4116,120,110,89,
286,1.41676,119,110,89,
287,1.42193,119,110,89,
288,1.42715,123,109,86,
289,1.43235,122,109,88,
290,1.43756,127,109,90,
291,1.44277,125,110,86,
292,1.44797,122,110,90,
293,1.45317,122,110,90,
294,1.45838,127,111,86,
295,1.4636,127,111,90,
296,1.46881,126,111,86,
297,1.47397,126,112,89,
298,1.47916,126,112,90,
299,1.48434,124,112,90,
300,1.48951,124,112,90,
301,1.49466,124,112,85,
302,1.49985,128,112,89,
303,1.50502,122,112,90,
304,1.5102,123,112,86,
305,1.51537,122,112,90,
306,1.52054,122,112,90,
307,1.52573,122,112,90,
308,1.53091,124,112,88,
309,1.53609,123,112,89,
310,1.54129,121,112,86,
311,1.54647,121,113,88,
312,1.55167,125,112,90,
313,1.55688,125,112,90,
314,1.56211,122,112,90,
315,1.56738,125,112,87,
316,1.57259,122,112,90,
317,1.57777,119,112,88,
318,1.58298,123,111,90,
319,1.58819,123,111,90,
320,1.59339,120,111,90,
321,1.59858,122,111,86,
322,1.60377,118,110,90,
323,1.60896,121,110,90,
324,1.61412,120,109,85,
325,1.61928,120,109,85,
326,1.62443,118,109,89,
327,1.62958,125,108,85,
328,1.63479,126,109,90,
329,1.6399,121,106,86,
330,1.64503,124,104,89,
331,1.65016,122,103,85,
332,1.65529,122,102,85,
333,1.66044,124,102,89,
334,1.66559,124,103,85,
335,1.67076,122,104,89,
336,1.67592,123,105,87,
337,1.68106,119,106,93,
338,1.6862,119,107,93,
339,1.69132,118,107,85,
340,1.69648,120,108,89,
341,1.70162,116,109,89,
342,1.70679,120,110,89,
343,1.712,124,110,86,
344,1.71722,125,110,90,
345,1.72244,125,110,90,
346,1.72761,119,111,90,
347,1.7328,123,111,88,
348,1.73799,123,112,88,
349,1.74316,124,112,89,
350,1.74837,124,112,88,
351,1.75359,124,113,88,
352,1.75881,127,113,86,
353,1.76402,125,113,90,
354,1.76919,124,113,86,
355,1.77435,124,113,89,
356,1.77952,124,114,87,
357,1.78468,124,113,87,
358,1.78985,126,113,89,
359,1.79503,123,113,90,
360,1.80019,125,113,87,
361,1.80573,161,112,94,
362,1.81133,148,113,95,
363,1.81688,141,113,101,
364,1.82242,141,113,101,
365,1.82793,139,113,93,
366,1.83345,149,113,91,
367,1.83897,144,113,93,
368,1.84449,152,113,96,
369,1.85005,150,113,94,
370,1.8556,150,113,94,
371,1.86123,153,113,97,
372,1.86683,155,113,97,
373,1.87241,153,114,94,
374,1.87795,143,114,94,
375,1.88352,144,114,96,
376,1.88905,145,114,94,
377,1.89457,145,114,94,
378,1.9001,148,114,96,
379,1.90567,151,114,94,
380,1.91119,149,114,95,
381,1.91674,139,115,94,
382,1.92226,146,114,96,
383,1.92777,146,113,96,
384,1.93326,146,113,93,
385,1.93872,143,111,95,
386,1.94427,141,111,94,
387,1.94983,149,111,92,
388,1.95539,147,111,99,
389,1.96096,147,111,99,
390,1.96652,147,112,92,
391,1.97199,143,112,95,
392,1.97743,138,113,92,
393,1.98293,137,114,96,
394,1.98841,139,114,95,
395,1.99392,154,115,95,
396,1.99943,154,115,95,
397,2.00503,156,116,95,
398,2.01057,150,116,96,
399,2.01607,140,116,95,
400,2.02151,134,116,92,
401,2.02694,137,117,94,
402,2.03237,137,116,94,
403,2.03781,139,116,92,
404,2.04331,145,117,95,
405,2.04881,150,117,93,
406,2.05431,146,117,91,
407,2.05984,141,117,96,
408,2.06534,143,118,95,
409,2.07085,143,118,95,
410,2.07633,144,118,95,
411,2.08181,143,118,91,
412,2.08738,140,118,97,
413,2.09289,143,118,95,
414,2.09842,140,118,93,
415,2.10394,140,118,93,
416,2.10949,151,118,96,
417,2.11502,153,119,94,
418,2.12056,152,119,96,
419,2.12613,144,119,94,
420,2.13164,140,120,96,
421,2.13715,148,120,93,
422,2.14266,148,119,93,
423,2.14817,145,119,95,
424,2.15367,147,119,91,
425,2.15919,141,119,91,
426,2.16468,139,119,95,
427,2.1702,143,119,95,
428,2.17572,143,119,95,
429,2.18126,156,119,93,
430,2.18683,154,119,96,
431,2.19237,139,119,96,
432,2.19784,140,119,90,
433,2.20331,143,120,95,
434,2.20879,143,119,95,
435,2.2143,150,119,95,
436,2.21986,155,120,94,
437,2.2254,144,119,96,
438,2.23091,136,120,98,
439,2.2364,140,119,91,
440,2.24193,155,119,93,
441,2.24747,155,119,93,
442,2.253,145,119,94,
443,2.25852,150,119,95,
444,2.26403,141,120,96,
445,2.26955,144,120,93,
446,2.27505,148,120,95,
447,2.28055,148,121,95,
448,2.28606,149,121,93,
449,2.29158,152,121,93,
450,2.29706,138,121,93,
451,2.3026,143,121,96,
452,2.3081,139,122,93,
453,2.31369,152,122,96,
454,2.31929,152,122,96,
455,2.32482,148,122,96,
456,2.33031,141,122,91,
457,2.33581,143,122,95,
458,2.34128,141,122,95,
459,2.34673,141,121,92,
460,2.35219,141,121,92,
461,2.35771,151,121,95,
462,2.36327,149,121,94,
463,2.36882,145,121,91,
464,2.37436,141,121,96,
465,2.37987,147,121,96,
466,2.38538,147,121,96,
467,2.39087,146,121,93,
468,2.39636,145,122,95,
469,2.40187,143,122,93,
470,2.4074,143,122,96,
471,2.41289,144,122,93,
472,2.4184,144,122,95,
473,2.42392,144,122,95,
474,2.42937,143,122,90,
475,2.43487,141,122,93,
476,2.4403,135,121,92,
477,2.44581,146,120,90,
478,2.45135,148,120,96,
479,2.45689,148,119,96,
480,2.46244,152,119,96,
481,2.46797,153,119,92,
482,2.47352,146,119,92,
483,2.47905,143,120,98,
484,2.48458,150,120,91,
485,2.49013,150,120,94,
486,2.49568,150,121,94,
487,2.50116,138,121,93,
488,2.5067,141,121,96,
489,2.51228,147,121,92,
490,2.51784,155,122,94,
491,2.52341,149,122,99,
492,2.52897,149,122,99,
493,2.53449,149,122,91,
494,2.54002,144,122,96,
495,2.54558,150,122,92,
496,2.55118,152,122,96,
497,2.55672,154,122,94,
498,2.56227,154,122,98,
499,2.56782,147,122,98,
500,2.57335,143,122,91,
501,2.5789,149,122,96,
502,2.58445,150,122,94,
503,2.59002,149,122,94,
504,2.59561,150,122,97,
505,2.60121,150,122,97,
506,2.60675,140,122,96,
507,2.61229,155,122,94,
508,2.61787,150,122,96,
509,2.62342,152,122,96,
510,2.629,148,122,94,
511,2.63458,148,122,94,
512,2.64017,152,122,97,
513,2.64574,152,123,94,
514,2.65128,154,122,91,
515,2.65681,143,121,96,
516,2.66238,148,120,96,
517,2.66793,146,120,96,
518,2.67347,146,120,96,
519,2.67899,147,120,91,
520,2.68445,140,120,93,
521,2.68997,145,120,100,
522,2.69548,139,120,93,
523,2.701,141,121,96,
524,2.70653,141,121,96,
525,2.71205,150,121,93,
526,2.71761,152,122,96,
527,2.72315,144,122,96,
528,2.7287,145,123,92,
529,2.73422,144,123,96,
530,2.73975,144,123,96,
531,2.74529,150,123,96,
532,2.75081,150,123,94,
533,2.7563,139,123,95,
534,2.76175,136,123,92,
535,2.76722,139,123,94,
536,2.77274,152,123,93,
537,2.77825,152,123,93,
538,2.7838,150,123,96,
539,2.78929,141,123,93,
540,2.7948,141,122,95,
541,2.80029,138,122,93,
542,2.8058,143,122,95,
543,2.8113,143,122,95,
544,2.81684,147,122,96,
545,2.82234,145,123,98,
546,2.82796,155,123,97,
547,2.83365,157,123,94,
548,2.83929,149,124,103,
549,2.84479,141,124,74,
550,2.85028,141,124,74,
551,2.85576,139,124,95,
552,2.86127,137,124,96,
553,2.86626,133,123,41,
554,2.87195,184,123,55,
555,2.87801,206,123,94,
556,2.88407,206,123,94,
557,2.89021,201,123,92,
558,2.89609,187,123,88,
559,2.902,181,124,87,
560,2.90783,168,123,87,
561,2.91364,173,124,89,
562,2.91947,173,124,87,
563,2.9253,173,124,87,
564,2.93125,184,124,87,
565,2.93722,186,125,87,
566,2.94317,180,125,89,
567,2.94912,188,125,91,
568,2.95509,193,125,87,
569,2.96105,193,125,87,
570,2.96705,200,125,91,
571,2.97307,194,125,92,
