secs,km,power,hr,cad,alt
0,0,0,0,0,
1,0.00372724,53,0,58,
2,0.00762107,62,86,62,
3,0.011778,76,87,74,
4,0.0160836,81,88,60,
5,0.0203892,81,89,60,
6,0.0251261,96,91,78,
7,0.029863,96,93,78,
8,0.0346961,107,93,80,
9,0.0396543,113,94,82,
10,0.0446676,112,95,83,
11,0.0497876,122,96,84,
12,0.0548803,116,97,57,
13,0.0599731,116,99,57,
14,0.0650609,122,99,84,
15,0.0702007,120,101,85,
16,0.0753556,116,102,85,
17,0.0805005,117,101,85,
18,0.0856034,115,100,81,
19,0.0907135,123,100,84,
20,0.0958734,122,100,85,
21,0.101013,121,100,85,
22,0.106106,115,100,83,
23,0.111231,119,101,84,
24,0.116401,124,101,85,
25,0.121571,125,101,81,
26,0.126741,125,101,81,
27,0.131879,119,102,87,
28,0.13697,114,101,81,
29,0.142033,115,101,84,
30,0.1471,116,100,80,
31,0.15222,123,99,84,
32,0.15734,123,99,84,
33,0.162458,116,100,81,
34,0.167618,120,101,87,
35,0.172753,117,102,85,
36,0.177883,119,103,85,
37,0.183013,122,104,85,
38,0.188193,122,105,88,
39,0.193373,122,105,88,
40,0.198503,116,106,85,
41,0.203576,114,107,82,
42,0.208661,117,108,84,
43,0.213739,117,109,86,
44,0.2188,117,110,84,
45,0.223862,117,110,84,
46,0.228904,112,110,81,
47,0.233982,118,111,84,
48,0.239065,119,111,84,
49,0.24417,116,112,82,
50,0.249295,118,112,89,
51,0.254398,118,113,83,
52,0.259518,118,113,85,
53,0.264643,122,114,87,
54,0.269781,119,114,81,
55,0.274887,115,115,85,
56,0.279969,114,115,84,
57,0.285062,119,115,82,
58,0.290155,119,116,82,
59,0.295231,119,116,84,
60,0.300298,116,115,84,
61,0.305386,113,115,84,
62,0.310486,118,116,84,
63,0.315589,117,116,84,
64,0.320692,117,115,84,
65,0.325802,119,116,84,
66,0.330905,114,116,86,
67,0.335991,112,116,81,
68,0.341079,117,116,82,
69,0.346194,122,116,88,
70,0.351276,115,116,84,
71,0.356359,115,116,84,
72,0.36142,113,116,84,
73,0.366523,117,117,84,
74,0.371619,120,117,84,
75,0.376696,121,117,84,
