secs,km,power,hr,cad,alt
0,0,57,0,0,
1,0,57,0,0,
2,0.0039839,64,78,0,
3,0.00810138,70,78,0,
4,0.0122703,74,78,0,
5,0.0164393,74,78,69,
6,0.0206817,74,79,72,
7,0.0251334,87,79,74,
8,0.0296459,83,79,74,
9,0.0342915,98,81,77,
10,0.0389914,93,81,78,
11,0.0436914,93,84,77,
12,0.0484098,97,85,78,
13,0.053208,100,88,80,
14,0.0580789,105,89,80,
15,0.0629635,108,90,81,
16,0.0679217,107,93,82,
17,0.0728799,107,95,82,
18,0.0778496,112,95,82,
19,0.082793,108,96,81,
20,0.0876926,100,96,81,
21,0.0925683,107,96,80,
22,0.0974483,104,96,80,
23,0.102392,109,96,81,
24,0.107335,109,97,81,
25,0.112281,112,97,82,
26,0.117229,104,98,81,
27,0.122156,104,98,81,
28,0.12709,109,99,81,
29,0.132043,107,100,81,
30,0.136996,107,99,82,
31,0.141951,109,99,82,
32,0.146885,110,99,81,
33,0.151864,114,99,81,
34,0.156863,107,100,82,
35,0.161871,114,100,82,
36,0.1668,108,101,82,
37,0.171729,108,101,81,
38,0.176638,103,101,81,
39,0.181589,112,101,82,
40,0.186583,114,102,82,
41,0.191576,114,102,82,
42,0.196554,106,102,82,
43,0.201532,106,102,82,
44,0.206521,111,101,82,
45,0.21152,112,102,83,
46,0.216548,112,102,83,
47,0.221616,113,102,83,
48,0.226634,115,104,83,
49,0.231652,115,103,82,
50,0.236626,106,103,82,
51,0.241601,110,101,82,
52,0.246604,114,100,82,
53,0.251647,118,100,83,
54,0.25672,115,100,84,
55,0.261786,116,102,84,
56,0.266852,116,103,83,
57,0.271895,115,103,83,
58,0.276958,120,104,84,
59,0.282083,118,104,84,
60,0.287223,119,105,85,
61,0.292449,126,106,86,
62,0.297675,126,106,86,
63,0.302955,133,107,87,
64,0.308165,123,107,85,
65,0.3133,124,108,85,
66,0.318455,121,108,85,
67,0.323589,115,109,84,
68,0.328682,117,109,84,
69,0.333774,117,109,84,
70,0.338894,122,109,84,
71,0.34399,119,109,84,
72,0.349108,114,109,84,
73,0.354208,116,109,84,
74,0.359266,121,109,83,
75,0.364324,121,110,83,
76,0.369409,118,110,84,
77,0.374512,119,110,84,
78,0.379607,116,110,84,
79,0.384715,118,110,84,
80,0.389835,120,110,84,
81,0.394969,120,111,84,
82,0.400102,122,111,84,
83,0.405222,118,111,84,
84,0.410332,115,111,84,
85,0.41542,119,112,84,
86,0.420493,116,112,83,
87,0.425566,114,112,83,
88,0.430638,114,112,83,
89,0.435721,115,111,84,
90,0.440807,117,111,84,
91,0.445879,118,110,83,
92,0.450952,116,110,83,
93,0.456055,114,111,84,
94,0.461158,114,111,84,
95,0.466293,119,111,84,
96,0.471418,121,111,84,
97,0.476505,118,111,84,
98,0.481586,116,110,84,
99,0.486701,117,110,84,
100,0.491784,116,110,84,
101,0.496866,116,110,83,
102,0.501909,117,110,83,
103,0.506937,115,109,83,
104,0.512003,111,109,83,
105,0.517096,118,109,84,
106,0.522261,125,108,84,
107,0.527426,125,108,85,
108,0.532529,117,104,84,
109,0.5376,112,104,84,
110,0.542678,116,104,84,
111,0.547788,116,105,84,
112,0.552898,118,105,84,
113,0.558031,118,105,84,
114,0.563137,120,105,84,
115,0.568257,118,105,84,
116,0.573382,116,105,84,
117,0.5785,121,104,84,
118,0.58361,121,104,84,
119,0.588745,121,104,85,
120,0.59388,121,104,85,
121,0.599014,124,103,84,
122,0.604134,114,103,85,
123,0.609304,121,103,85,
124,0.614525,129,105,86,
125,0.619814,131,106,87,
126,0.625103,131,106,87,
127,0.630403,132,108,87,
128,0.635689,129,108,87,
129,0.640989,130,109,87,
130,0.646267,124,108,87,
131,0.651532,124,108,87,
132,0.6568,128,109,87,
133,0.662068,128,109,87,
134,0.667338,129,108,87,
135,0.672605,132,108,87,
136,0.677922,134,108,88,
137,0.683227,133,109,87,
138,0.688518,128,109,87,
139,0.693808,128,109,87,
140,0.69906,126,110,86,
141,0.70433,127,110,87,
142,0.709614,126,110,87,
143,0.714884,125,110,87,
144,0.720157,127,110,87,
145,0.725452,133,110,87,
146,0.730748,133,110,87,
147,0.736054,133,110,88,
148,0.741349,134,110,87,
149,0.746628,129,110,87,
150,0.751913,130,110,87,
151,0.757214,132,110,87,
152,0.762514,132,111,87,
153,0.767819,130,111,87,
154,0.773115,127,111,87,
155,0.778415,127,111,87,
156,0.783678,126,111,87,
157,0.788973,129,110,87,
158,0.794269,129,110,87,
159,0.799536,132,110,87,
160,0.804791,128,110,86,
161,0.810023,129,110,86,
162,0.815277,127,110,86,
163,0.820573,127,111,87,
164,0.825889,131,112,87,
165,0.831205,131,112,88,
166,0.836522,128,112,87,
167,0.841797,125,111,87,
168,0.847054,129,110,87,
169,0.852344,128,111,87,
170,0.857612,133,111,87,
171,0.86288,133,111,87,
172,0.868201,134,112,88,
173,0.873523,136,112,88,
174,0.87887,135,112,88,
175,0.884176,130,112,87,
176,0.889416,126,113,86,
177,0.894647,122,112,86,
178,0.899878,122,112,86,
179,0.905138,126,110,86,
180,0.910444,130,109,88,
181,0.915754,133,109,87,
182,0.920995,130,110,87,
183,0.926306,136,110,86,
184,0.931617,136,110,88,
185,0.937139,157,111,92,
186,0.942748,150,112,92,
187,0.948307,150,112,91,
188,0.953758,138,113,89,
189,0.959064,139,113,89,
190,0.96437,139,112,87,
191,0.969655,134,112,87,
192,0.975003,136,112,88,
193,0.980345,135,112,88,
194,0.985666,135,112,88,
195,0.991029,136,112,88,
196,0.996398,132,112,89,
197,1.00177,132,111,89,
198,1.00719,140,112,89,
199,1.01262,141,112,90,
200,1.01807,137,112,89,
201,1.02343,135,112,88,
202,1.0288,135,112,88,
203,1.03416,135,112,88,
204,1.03953,134,113,89,
205,1.04492,131,113,89,
206,1.05032,134,113,89,
207,1.0557,131,113,89,
208,1.06112,135,111,89,
209,1.06655,138,109,89,
210,1.07199,138,109,90,
211,1.07742,137,110,89,
212,1.08284,136,111,89,
213,1.08827,135,111,90,
214,1.09373,138,111,90,
215,1.09921,138,112,90,
216,1.10468,138,112,90,
217,1.11012,137,113,90,
218,1.11556,137,113,90,
219,1.12102,141,114,90,
220,1.12648,135,115,90,
221,1.13189,135,115,89,
222,1.1373,138,115,89,
223,1.1427,138,116,89,
224,1.14815,137,116,89,
225,1.15357,135,116,89,
226,1.15902,140,116,90,
227,1.16444,136,116,90,
228,1.16986,136,116,89,
229,1.17527,136,116,90,
230,1.18075,139,116,90,
231,1.18621,136,116,89,
232,1.19161,136,116,89,
233,1.19702,136,117,89,
234,1.20242,135,117,89,
235,1.20783,135,117,89,
236,1.21326,137,117,89,
237,1.21867,131,118,89,
238,1.22404,134,118,89,
239,1.22946,136,119,89,
240,1.2349,136,119,90,
241,1.24047,153,119,90,
242,1.24605,153,119,90,
243,1.25154,157,119,83,
244,1.25726,157,119,85,
245,1.26298,165,119,86,
246,1.26878,180,119,86,
247,1.27452,166,119,86,
248,1.28025,166,120,85,
249,1.28591,158,120,84,
250,1.29159,152,120,85,
251,1.29732,169,120,85,
252,1.3031,175,120,86,
253,1.30886,172,120,86,
254,1.3146,165,119,86,
255,1.32034,165,119,85,
256,1.32599,155,119,84,
257,1.33164,153,119,84,
258,1.33731,156,119,84,
259,1.34298,164,119,84,
260,1.34866,162,119,85,
261,1.35434,162,118,84,
262,1.36,157,118,84,
263,1.36567,155,118,84,
264,1.37136,165,119,85,
265,1.37708,170,119,85,
266,1.38278,163,120,85,
267,1.38848,163,120,85,
268,1.39419,162,121,85,
269,1.39991,163,121,85,
270,1.40566,164,121,86,
271,1.41138,170,121,85,
272,1.41712,171,121,85,
273,1.42285,169,122,86,
274,1.42858,169,122,85,
275,1.4343,166,123,85,
276,1.44001,156,122,85,
277,1.44571,158,121,85,
278,1.45149,175,120,85,
279,1.45726,173,120,86,
280,1.46304,173,120,86,
281,1.46879,171,120,86,
282,1.47453,168,120,85,
283,1.48021,158,120,85,
284,1.48586,159,120,85,
285,1.49158,167,120,84,
286,1.49735,175,120,85,
287,1.50312,175,120,86,
288,1.50887,171,118,85,
289,1.51458,164,117,85,
290,1.52034,166,117,85,
291,1.52612,167,117,86,
292,1.53189,168,117,86,
293,1.53766,168,117,86,
294,1.54338,159,118,85,
295,1.54908,173,120,85,
296,1.55485,173,120,86,
297,1.56061,170,121,86,
298,1.56633,158,122,86,
299,1.57205,158,122,86,
300,1.57788,180,122,88,
301,1.58384,186,121,89,
302,1.58987,198,121,90,
303,1.59593,193,121,90,
304,1.60197,190,122,90,
