secs,km,power,hr,cad,alt
0,0,0,0,0,
1,0.00335211,41,0,55,
2,0.00671348,42,75,55,
3,0.0101232,42,75,56,
4,0.0135267,43,76,56,
5,0.0169301,43,76,56,
6,0.0203534,43,76,56,
7,0.0237766,45,77,56,
8,0.0272233,45,77,60,
9,0.0306733,46,78,54,
10,0.034185,47,79,58,
11,0.0376967,47,79,58,
12,0.0412756,51,80,56,
13,0.0449838,55,81,42,
14,0.048692,55,82,42,
15,0.0525559,63,82,59,
16,0.0565072,64,82,66,
17,0.0604585,64,82,66,
18,0.0646598,72,83,66,
19,0.0689611,78,84,71,
20,0.0733392,83,85,72,
21,0.0778736,92,85,74,
22,0.0825327,92,86,76,
23,0.0871917,92,85,76,
24,0.0918347,94,85,77,
25,0.0964491,93,86,76,
26,0.101055,88,87,76,
27,0.105674,92,87,73,
28,0.110235,86,86,80,
29,0.114796,86,84,80,
30,0.119403,92,84,76,
31,0.124053,92,84,77,
32,0.128696,92,84,77,
33,0.13335,94,84,75,
34,0.138096,98,84,78,
35,0.142843,98,85,78,
36,0.147636,102,85,77,
37,0.152432,98,86,83,
38,0.157141,94,86,82,
39,0.161911,101,87,75,
40,0.166749,101,87,80,
41,0.171586,101,88,80,
42,0.176391,100,88,79,
43,0.181218,101,88,80,
44,0.186033,97,88,80,
45,0.190819,100,89,79,
46,0.195603,100,89,79,
47,0.200387,100,90,79,
48,0.205244,105,90,78,
49,0.210115,100,91,84,
50,0.214923,95,92,80,
51,0.219677,97,92,77,
52,0.224452,98,91,79,
53,0.229226,98,91,79,
54,0.234107,105,92,81,
55,0.238944,101,92,77,
56,0.243796,100,92,80,
57,0.248662,106,93,80,
58,0.253543,100,94,81,
59,0.258423,100,95,81,
60,0.263318,103,93,79,
61,0.268179,103,92,80,
62,0.273073,102,91,81,
63,0.277978,103,91,81,
64,0.282839,106,91,80,
65,0.287682,106,92,80,
66,0.292543,106,93,79,
67,0.297376,103,94,80,
68,0.302174,96,94,80,
69,0.307003,102,95,78,
70,0.311822,101,96,83,
71,0.316664,100,96,80,
72,0.321506,102,97,80,
73,0.326363,104,97,77,
74,0.331224,101,97,80,
75,0.336114,101,97,81,
76,0.341004,109,97,77,
77,0.345903,106,97,81,
78,0.350803,102,98,81,
79,0.35566,104,98,77,
80,0.360497,103,98,84,
81,0.365349,100,98,78,
82,0.370235,108,98,80,
83,0.375049,97,98,78,
84,0.379863,97,97,78,
85,0.384701,104,97,80,
86,0.389553,104,97,84,
87,0.394409,100,97,79,
88,0.39928,104,97,80,
89,0.404093,97,97,80,
90,0.408906,97,97,80,
91,0.413718,97,97,80,
92,0.418512,101,97,79,
93,0.423335,97,97,78,
94,0.428173,104,97,80,
95,0.432971,96,96,80,
96,0.43777,96,96,80,
97,0.442617,104,96,80,
98,0.44745,102,97,80,
99,0.452264,98,96,78,
100,0.457072,100,96,79,
101,0.461896,98,96,80,
