secs,km,power,hr,cad,alt
0,0,0,0,0,
1,0.00349782,49,0,0,
2,0.00704574,50,81,59,
3,0.0106526,57,80,59,
4,0.0143798,58,80,59,
5,0.018107,58,81,59,
6,0.021904,59,81,60,
7,0.025701,59,82,60,
8,0.0297506,66,83,61,
9,0.0339438,75,82,69,
10,0.0381288,69,81,69,
11,0.0423342,71,81,69,
12,0.0465557,75,81,73,
13,0.0507898,75,81,68,
14,0.0550477,73,84,70,
15,0.0593791,80,85,71,
16,0.0637107,77,85,72,
17,0.0680592,78,85,72,
18,0.0722808,73,85,72,
19,0.0764457,72,84,69,
20,0.0806106,72,85,69,
21,0.0848194,75,85,69,
22,0.0890248,73,85,69,
23,0.0931221,66,85,72,
24,0.0972356,72,85,62,
25,0.101337,70,86,68,
26,0.105438,70,86,68,
27,0.109615,72,87,69,
28,0.113782,72,87,69,
29,0.117951,70,86,69,
30,0.122169,71,86,66,
31,0.126432,76,87,70,
32,0.130708,72,87,68,
33,0.134984,75,87,68,
34,0.139299,79,86,71,
35,0.143608,75,86,71,
36,0.147965,81,86,71,
37,0.152331,78,87,72,
38,0.156561,74,87,70,
39,0.160791,74,87,70,
40,0.164928,69,86,69,
41,0.169107,70,86,66,
42,0.173345,75,86,70,
43,0.177579,75,85,70,
44,0.181801,71,85,70,
45,0.186079,78,85,67,
46,0.190357,78,84,67,
47,0.194667,74,84,71,
48,0.198957,78,84,71,
49,0.203267,76,83,71,
50,0.207578,77,83,71,
51,0.21185,73,83,68,
52,0.216121,73,83,68,
53,0.220368,75,83,74,
54,0.224623,75,83,69,
55,0.228873,71,82,70,
56,0.233144,78,82,70,
57,0.237429,75,82,71,
58,0.241713,75,82,71,
59,0.245983,76,82,71,
60,0.250259,74,83,69,
61,0.254573,79,83,71,
62,0.258926,79,82,72,
63,0.263236,75,80,72,
64,0.267475,74,80,70,
65,0.271713,74,79,70,
66,0.275951,72,80,67,
67,0.280235,78,80,74,
68,0.28453,77,81,68,
69,0.288823,76,81,71,
70,0.293154,78,81,71,
71,0.297486,78,81,71,
72,0.30183,78,81,72,
73,0.306153,77,82,68,
74,0.310427,72,82,75,
75,0.314682,76,81,67,
76,0.31897,78,82,71,
77,0.32328,78,82,71,
78,0.32759,78,82,71,
79,0.331897,77,81,71,
80,0.336228,77,82,71,
81,0.340568,77,83,72,
82,0.344861,75,82,71,
83,0.349124,75,82,71,
84,0.353388,75,81,71,
85,0.357702,78,81,71,
86,0.362059,81,81,72,
87,0.366378,75,81,72,
88,0.370683,77,81,71,
89,0.374989,76,81,71,
90,0.379292,77,81,71,
91,0.383594,77,81,71,
92,0.387816,72,82,70,
93,0.392016,70,81,69,
94,0.39623,76,81,69,
95,0.400512,77,81,67,
96,0.404792,76,81,71,
97,0.409072,76,81,71,
98,0.413319,72,81,70,
99,0.417601,78,81,71,
100,0.421911,78,82,71,
101,0.426218,76,82,71,
102,0.430502,75,81,69,
103,0.434786,75,81,69,
104,0.439064,73,82,71,
105,0.443361,78,82,71,
106,0.447685,76,82,71,
107,0.45202,78,80,72,
108,0.456323,78,78,71,
109,0.460642,78,78,71,
110,0.464961,78,78,71,
111,0.469246,76,79,68,
112,0.47356,77,79,71,
113,0.477942,82,80,72,
114,0.482325,79,81,72,
115,0.486644,78,81,71,
116,0.490963,78,80,71,
117,0.495256,72,80,71,
118,0.499553,78,80,68,
119,0.503918,78,80,73,
120,0.508267,78,80,69,
121,0.512636,78,81,72,
122,0.51704,82,82,70,
123,0.521444,82,83,70,
124,0.52581,78,83,74,
125,0.530159,78,83,69,
126,0.534503,79,83,72,
127,0.53886,78,83,72,
128,0.543238,78,82,72,
129,0.547616,78,82,72,
130,0.55205,82,82,73,
131,0.556467,80,83,73,
132,0.560892,83,82,70,
133,0.565305,81,83,73,
134,0.569715,80,83,73,
135,0.574125,80,84,73,
136,0.57852,78,83,73,
137,0.58289,79,83,73,
138,0.587247,79,81,72,
139,0.591613,78,81,69,
140,0.596008,78,81,73,
141,0.600407,81,80,73,
142,0.604807,81,80,73,
143,0.609114,76,79,72,
144,0.613436,78,79,71,
145,0.617789,80,80,69,
146,0.622176,79,80,75,
147,0.626571,78,79,73,
148,0.630966,78,79,73,
149,0.635374,83,77,73,
150,0.639765,79,77,73,
151,0.644122,77,79,72,
152,0.648415,75,79,72,
153,0.652677,75,79,70,
154,0.656969,78,78,71,
155,0.661262,78,78,71,
156,0.665568,76,79,71,
157,0.669883,78,79,72,
158,0.674176,77,79,71,
159,0.678511,79,80,68,
160,0.682851,76,81,72,
161,0.687191,76,81,72,
162,0.691531,78,81,75,
163,0.695829,78,81,70,
164,0.700088,73,81,70,
165,0.704394,78,82,71,
166,0.708653,72,83,71,
167,0.712923,76,83,67,
168,0.717193,76,83,67,
169,0.721457,74,83,70,
170,0.725749,76,84,71,
171,0.730052,78,84,71,
172,0.734358,77,84,71,
173,0.73866,77,83,71,
174,0.742963,77,84,71,
175,0.747239,73,84,71,
176,0.751647,87,84,69,
177,0.756315,95,84,76,
178,0.761148,104,84,79,
179,0.766024,100,85,77,
180,0.770899,100,85,77,
181,0.775742,100,85,80,
182,0.780575,102,86,80,
183,0.785349,94,86,80,
184,0.790095,98,86,78,
185,0.794799,93,86,78,
186,0.799504,96,86,78,
187,0.804208,96,86,78,
188,0.808908,94,86,76,
189,0.813659,98,87,78,
190,0.818448,100,87,79,
191,0.823166,96,87,78,
192,0.827862,92,87,78,
193,0.832557,92,87,78,
194,0.837253,93,88,78,
195,0.841953,97,88,74,
196,0.84668,94,88,78,
197,0.851426,100,87,78,
198,0.856113,94,86,78,
199,0.86089,100,86,75,
200,0.865667,100,85,75,
201,0.870432,96,83,79,
202,0.875201,97,82,79,
203,0.879956,97,82,82,
204,0.884729,100,81,79,
205,0.889485,97,82,79,
206,0.89424,97,83,79,
207,0.899001,95,84,79,
208,0.903724,96,84,78,
209,0.90846,96,84,75,
210,0.913242,100,85,79,
211,0.918017,95,85,79,
212,0.922791,95,85,79,
213,0.927533,97,85,79,
214,0.932256,94,85,76,
215,0.936988,94,86,78,
216,0.941711,96,87,78,
217,0.946425,96,87,78,
218,0.951134,96,87,78,
219,0.955843,96,88,78,
220,0.960585,95,88,78,
221,0.965294,95,88,78,
222,0.969966,92,88,74,
223,0.974703,96,88,78,
224,0.979445,97,88,78,
225,0.984186,97,88,78,
226,0.988914,96,89,78,
227,0.993687,97,90,79,
228,0.998452,97,89,79,
229,1.00317,94,88,78,
230,1.00792,98,87,75,
231,1.01264,94,87,82,
232,1.01735,94,87,82,
233,1.02206,96,87,76,
234,1.02677,95,87,78,
235,1.03149,94,87,78,
236,1.03624,95,87,77,
237,1.04096,94,87,82,
238,1.04568,94,86,82,
239,1.05034,93,86,74,
240,1.05505,93,86,78,
241,1.05978,97,86,78,
242,1.0645,98,86,78,
243,1.06921,96,85,78,
244,1.07393,96,85,78,
245,1.07862,92,85,78,
246,1.08332,96,85,78,
247,1.088,92,85,78,
248,1.0927,94,85,78,
249,1.09735,91,85,77,
250,1.10202,94,85,74,
251,1.10668,94,85,74,
252,1.11135,90,86,77,
253,1.116,94,86,77,
254,1.12065,91,85,77,
255,1.12535,96,86,77,
256,1.13004,92,87,78,
257,1.13474,92,87,78,
258,1.13943,96,87,74,
259,1.14409,91,87,81,
260,1.14883,97,88,76,
261,1.15361,95,88,79,
262,1.15837,98,88,79,
263,1.16315,97,88,76,
264,1.16792,97,88,76,
265,1.17274,98,89,83,
266,1.17759,105,88,76,
267,1.18243,98,88,80,
268,1.18723,102,87,79,
269,1.19205,100,86,80,
270,1.19687,100,86,80,
271,1.2017,101,86,76,
272,1.20657,107,87,80,
273,1.21145,106,88,81,
274,1.21637,109,90,81,
275,1.22126,103,90,81,
276,1.22613,101,90,80,
277,1.23101,101,90,80,
278,1.23592,107,91,79,
279,1.24086,109,91,82,
280,1.24579,106,91,82,
281,1.25072,106,92,82,
282,1.25557,102,92,81,
283,1.26042,102,92,81,
284,1.26526,100,92,78,
285,1.27011,102,92,80,
286,1.27498,108,92,80,
287,1.27985,105,92,81,
288,1.28469,100,91,80,
289,1.28954,100,91,80,
290,1.29436,100,91,80,
291,1.29923,104,91,80,
292,1.30411,105,91,77,
293,1.30897,100,91,80,
294,1.31384,107,92,80,
295,1.31868,98,93,80,
296,1.32352,98,94,80,
297,1.32833,101,94,76,
298,1.33315,104,94,80,
299,1.338,101,94,80,
300,1.34286,105,93,80,
301,1.34768,100,92,80,
302,1.35251,100,91,80,
303,1.35735,100,91,80,
304,1.3622,104,92,80,
305,1.36703,98,92,78,
306,1.37188,106,92,80,
307,1.37672,100,92,80,
308,1.38155,100,92,80,
309,1.38639,101,92,80,
310,1.39123,104,91,80,
311,1.39604,100,90,80,
312,1.40081,97,90,79,
313,1.40558,96,90,79,
314,1.41038,98,90,79,
315,1.41518,98,90,79,
316,1.41998,100,91,79,
317,1.42476,96,91,79,
318,1.42954,98,90,79,
319,1.43429,95,90,79,
320,1.43905,98,90,79,
321,1.4438,98,90,79,
322,1.44856,94,90,79,
323,1.45334,97,91,79,
324,1.45813,98,90,79,
325,1.46285,97,90,76,
326,1.46758,97,90,78,
327,1.47228,93,90,78,
328,1.47698,93,90,78,
329,1.48169,97,89,78,
330,1.48642,94,90,78,
331,1.49115,96,90,78,
332,1.49586,94,91,76,
333,1.5006,98,91,78,
334,1.50534,98,92,78,
335,1.5101,100,91,79,
336,1.51488,97,91,79,
337,1.51966,98,90,79,
338,1.52444,100,90,77,
339,1.5292,98,89,79,
340,1.53393,94,89,79,
341,1.53867,94,88,79,
342,1.54343,98,87,79,
343,1.5482,97,86,79,
344,1.55296,98,87,79,
345,1.55772,95,87,77,
346,1.56253,101,88,79,
347,1.56733,101,88,79,
348,1.57212,100,88,80,
349,1.57686,94,88,79,
350,1.58162,98,88,78,
351,1.58638,94,88,79,
352,1.59113,100,87,75,
353,1.59588,100,87,75,
354,1.6007,98,88,79,
355,1.60552,100,88,80,
356,1.61029,98,88,79,
357,1.61507,100,88,79,
358,1.61983,97,89,75,
359,1.62456,92,89,78,
360,1.62928,92,89,78,
361,1.634,97,89,78,
362,1.63871,94,89,78,
363,1.64342,95,88,78,
364,1.64816,95,88,77,
365,1.65295,101,87,79,
366,1.65773,101,87,79,
367,1.66253,97,87,79,
368,1.66731,98,87,79,
369,1.67217,107,87,80,
370,1.67733,121,87,85,
371,1.68253,123,87,86,
372,1.68782,128,88,87,
373,1.69311,128,88,87,
374,1.69843,130,89,88,
375,1.70375,128,90,88,
376,1.70901,129,90,87,
377,1.71428,129,91,87,
378,1.71951,127,91,87,
379,1.72474,127,92,87,
380,1.72996,124,92,85,
381,1.73518,128,93,86,
382,1.74038,121,93,86,
383,1.74561,127,93,86,
384,1.75089,126,95,87,
385,1.75617,126,95,87,
386,1.76144,129,95,85,
387,1.76668,126,95,87,
388,1.77189,126,95,86,
389,1.77711,127,96,86,
390,1.78234,124,95,85,
391,1.78756,122,94,91,
392,1.79279,122,93,91,
393,1.79801,127,93,84,
394,1.80325,124,94,87,
395,1.80849,128,95,87,
396,1.81374,126,97,87,
397,1.819,133,98,85,
398,1.82427,133,98,85,
399,1.82956,128,98,92,
400,1.8348,123,98,85,
401,1.83999,122,97,86,
402,1.84521,125,98,86,
403,1.85044,127,98,87,
404,1.85565,126,98,86,
405,1.86087,126,98,86,
406,1.8661,130,98,87,
407,1.87137,129,99,85,
408,1.87658,121,99,86,
409,1.88178,122,99,86,
410,1.88702,123,100,86,
411,1.89225,123,100,86,
412,1.89743,122,100,86,
413,1.9026,125,99,82,
414,1.90778,126,99,82,
415,1.91301,125,99,86,
416,1.91821,119,100,86,
417,1.92339,119,100,86,
418,1.92856,122,100,86,
419,1.93373,121,101,82,
420,1.93895,128,101,86,
421,1.94411,121,101,86,
422,1.94924,119,101,85,
423,1.95436,118,99,81,
424,1.95948,118,98,81,
425,1.96464,120,97,87,
426,1.96975,120,97,84,
427,1.97492,123,98,85,
428,1.98007,119,99,85,
429,1.98524,120,100,85,
430,1.99041,120,100,85,
431,1.99557,118,101,85,
432,2.00074,123,101,84,
433,2.00586,120,100,85,
434,2.01099,121,100,85,
435,2.01614,118,101,85,
436,2.02128,117,101,85,
437,2.02643,117,101,85,
438,2.03157,121,101,85,
439,2.03674,126,102,85,
440,2.04189,120,102,90,
441,2.04699,116,102,83,
442,2.05211,117,102,84,
443,2.05723,117,102,84,
444,2.0624,119,103,85,
445,2.06756,120,102,86,
446,2.07266,118,102,85,
447,2.07781,121,102,85,
448,2.08295,117,102,85,
449,2.08808,118,102,85,
450,2.0932,118,101,85,
451,2.09832,122,101,85,
452,2.10346,122,102,85,
453,2.10858,116,101,83,
454,2.11368,114,101,84,
455,2.11882,119,101,85,
456,2.12397,119,102,85,
457,2.12913,122,101,85,
458,2.13425,120,100,85,
459,2.13938,121,100,85,
460,2.14454,119,100,85,
461,2.1497,120,100,85,
462,2.15486,120,100,85,
463,2.15999,121,100,85,
464,2.16516,123,100,85,
465,2.1703,120,100,83,
466,2.17543,116,101,85,
467,2.18057,120,101,85,
468,2.18572,119,101,85,
469,2.19087,119,100,85,
470,2.19601,123,100,85,
