secs,km,power,hr,cad,alt
0,0,,121,,13.6
3,0.02305,,124,,13.6
4,0.0304,,125,,17
5,0.03774,,126,,20
6,0.04521,,127,,23
7,0.0532,,128,,26.2
13,0.0993,,130,,26.2
19,0.14535,,132,,26.2
23,0.18057,,135,,26.2
25,0.19769,,135,,26.2
28,0.22293,,132,,26.2
31,0.24694,,129,,26.2
33,0.26073,,126,,26.2
35,0.26775,,120,,26.2
36,0.26842,,117,,26.2
37,0.26842,,115,,26.2
203,0.26842,,82,,26.2
204,0.27475,,86,,26.2
206,0.28311,,91,,26.2
207,0.2835,,93,,26.2
496,0.28924,,106,,26.8
498,0.30331,,109,,26.8
500,0.31725,,112,,26.8
501,0.32527,,114,,26.8
503,0.34112,,117,,26.8
505,0.3571,,120,,26.8
507,0.36875,,122,,26.8
509,0.38318,,124,,26.8
510,0.39124,,125,,26.8
516,0.43576,,128,,26.8
522,0.47837,,128,,26.8
529,0.52773,,125,,26.8
532,0.54882,,125,,26.8
540,0.60913,,126,,26.8
541,0.61666,,127,,26.8
549,0.68191,,125,,26.8
557,0.74645,,122,,26.8
561,0.77863,,120,,26.8
569,0.84223,,120,,26.8
570,0.85,,121,,26.8
578,0.91183,,122,,26.8
583,0.95016,,119,,26.8
585,0.96533,,118,,26.8
589,0.99635,,119,,26.8
592,1.01949,,121,,26.8
595,1.04404,,124,,26.8
599,1.07798,,127,,26.8
602,1.10284,,131,,26.8
603,1.11127,,133,,26.8
606,1.13574,,136,,26.8
607,1.14461,,137,,26.8
608,1.15316,,138,,26.8
610,1.16964,,139,,27.2
611,1.17794,,140,,28
612,1.18566,,140,,28
613,1.19367,,140,,28.4
614,1.2019,,141,,28.8
616,1.21796,,141,,28.8
619,1.24295,,141,,28.8
620,1.2511,,141,,28.8
622,1.26694,,141,,28.8
624,1.28222,,140,,28.8
627,1.30685,,138,,28.8
628,1.31487,,138,,28.8
636,1.37844,,139,,28.8
637,1.38647,,139,,28.8
643,1.43371,,142,,28.8
650,1.49103,,144,,28.8
658,1.54875,,143,,28.8
666,1.60949,,143,,28.8
675,1.67667,,143,,28.8
679,1.70471,,142,,28.8
687,1.76108,,139,,28.8
689,1.77408,,139,,28.8
698,1.83454,,139,,28.8
700,1.84836,,140,,28.8
709,1.9097,,137,,28.8
710,1.91756,,137,,28.8
719,1.97949,,137,,28.8
721,1.99334,,137,,28.8
731,2.05848,,138,,28.8
732,2.06505,,137,,28.8
741,2.12521,,135,,28.8
742,2.1311,,135,,28.8
743,2.13798,,135,,28.8
747,2.16368,,134,,28.8
757,2.22666,,135,,28.8
758,2.23268,,134,,28.8
765,2.27806,,133,,28.8
769,2.3038,,132,,29.2
770,2.31031,,131,,29.6
771,2.31742,,131,,30
772,2.32404,,130,,30.4
773,2.32903,,130,,30.8
776,2.34614,,127,,30.8
779,2.35877,,124,,30.8
781,2.36393,,122,,30.8
783,2.36509,,118,,30.8
784,2.36514,,116,,30.8
842,2.36514,,74,,28.8
843,2.36755,,74,,28.8
844,2.37006,,74,,28.8
848,2.3939,,76,,28.8
851,2.41025,,80,,28.8
853,2.42241,,83,,28.8
856,2.44107,,87,,28.8
858,2.45287,,93,,28.8
859,2.45922,,98,,28.8
861,2.47267,,103,,28.8
862,2.47845,,107,,28.8
864,2.49126,,112,,28.8
866,2.50307,,116,,28.8
868,2.51529,,120,,28.8
869,2.52166,,122,,28.8
871,2.53426,,126,,28.8
873,2.54735,,129,,28.8
875,2.55989,,132,,28.8
876,2.56611,,133,,28.8
886,2.63028,,136,,29.2
887,2.63686,,135,,29.6
888,2.64284,,135,,30
